,Date,Open,High,Low,Close,adj_close,Volume,upper,middle,lower,macd,macd_signal,macd_hist
116,2023-06-27,7800.0,7972.35009765625,7544.2001953125,7655.85009765625,7655.85009765625,405194,8145.386100326998,6490.42001953125,4835.453938735502,622.5761977708798,490.5824372651533,131.99376050572653
117,2023-06-28,7665.85009765625,7815.0,7400.0,7430.0,7430.0,432431,8234.027587108963,6580.55751953125,4927.087451953537,602.4431224181017,512.954574295743,89.48854812235868
118,2023-06-29,7435.5498046875,7700.0,7400.0,7678.0,7678.0,209499,8332.124199707685,6688.73251953125,5045.340839354814,599.5873725272577,530.2811339420459,69.30623858521176
119,2023-06-30,7740.0,7740.0,7501.0,7647.25,7647.25,267306,8381.529942071838,6801.59501953125,5221.660096990661,588.0640656609012,541.837720285817,46.22634537508418
120,2023-07-03,7750.0,7800.0,7541.0,7702.7998046875,7702.7998046875,298505,8432.863408110272,6906.27001953125,5379.676630952228,576.7655724425485,548.8232907171633,27.942281725385214
121,2023-07-04,7800.0,7900.0,7705.0,7869.10009765625,7869.10009765625,94656,8489.298498302194,7015.180029296875,5541.061560291556,574.6067698166444,553.9799865370595,20.626783279584856
122,2023-07-05,7700.0,7790.0,7501.0,7729.9501953125,7729.9501953125,308832,8507.206353563646,7111.0400390625,5714.873724561354,555.2668978308466,554.2373687958169,1.0295290350296682
123,2023-07-06,7504.89990234375,7540.0,7200.0498046875,7278.2001953125,7278.2001953125,356484,8491.994229709067,7167.9925537109375,5843.990877712807,497.74971154190644,542.9398373450348,-45.19012580312835
124,2023-07-07,7389.9501953125,7489.9501953125,7351.0498046875,7427.14990234375,7427.14990234375,272185,8477.327464349051,7230.4650390625,5983.602613775948,458.89605547708925,526.1310809714457,-67.23502549435648
125,2023-07-10,7445.25,7520.0,7400.0,7513.9501953125,7513.9501953125,149735,8464.216519007814,7292.3575439453125,6120.498568882812,430.1498120679489,506.9348271907464,-76.78501512279746
126,2023-07-11,7480.25,7500.0,7366.0498046875,7454.4501953125,7454.4501953125,118314,8425.343678384546,7351.957543945313,6278.571409506079,397.9793955842306,485.1437408694432,-87.16434528521262
127,2023-07-12,7633.25,7768.5,7608.5498046875,7673.64990234375,7673.64990234375,167440,8366.68144227152,7425.662548828125,6484.643655384732,385.7252921127647,465.2600511181075,-79.53475900534283
128,2023-07-13,7746.5498046875,8035.0,7746.5498046875,7975.0498046875,7975.0498046875,244142,8293.910384559418,7515.1150390625,6736.319693565581,395.7720660230807,451.36245409910214,-55.59038807602144
129,2023-07-14,7901.25,7901.25,7752.0,7837.5,7837.5,167264,8119.662789590844,7595.125048828125,7070.5873080654055,388.160613117082,438.7220859026981,-50.561472785616104
130,2023-07-17,8051.0,8319.9501953125,8035.0,8135.7001953125,8135.7001953125,180735,8086.292510328916,7663.400048828125,7240.5075873273345,401.5617910861183,431.29002693938213,-29.72823585326381
131,2023-07-18,8200.0,8400.0,8018.75,8210.849609375,8210.849609375,199897,8168.936040584369,7705.250024414063,7241.564008243757,413.47991180090685,427.7280039116871,-14.248092110780249
132,2023-07-19,8150.0,8245.0,8000.0,8144.2001953125,8144.2001953125,110116,8222.392000313228,7722.080029296875,7221.7680582805215,412.78868660322405,424.7401404499945,-11.951453846770448
133,2023-07-20,8170.0,8190.0,8030.0,8120.35009765625,8120.35009765625,123774,8272.808791466467,7750.8650390625,7228.921286658533,405.64041193042976,420.92019474608156,-15.2797828156518
134,2023-07-21,8155.35009765625,8330.0,8073.0,8280.2001953125,8280.2001953125,112317,8350.242451940021,7782.6700439453125,7215.097635950604,408.1688038154289,418.36991655995104,-10.201112744522163
135,2023-07-24,8300.0,8505.75,8230.0,8379.0,8379.0,182561,8430.531150367922,7807.1600341796875,7183.788917991453,413.37970718968245,417.3718746858973,-3.9921674962148472
136,2023-07-25,8380.0,8475.0,8320.0,8465.349609375,8465.349609375,95278,8528.88563758482,7847.635009765625,7166.384381946429,419.6397318667796,417.82544612207374,1.8142857447058418
137,2023-07-26,8444.5,8500.0,8330.0,8388.0,8388.0,118513,8587.228469444017,7895.535009765625,7203.8415500872325,413.5917512292708,416.97870714351313,-3.3869559142423213
138,2023-07-27,8252.150390625,8297.7998046875,7824.9501953125,7859.2001953125,7859.2001953125,222702,8589.365970074257,7904.59501953125,7219.824068988241,361.95654834755624,405.97427538432174,-44.01772703676551
139,2023-07-28,8000.0,8084.0,7890.0,8033.2998046875,8033.2998046875,173254,8600.2765475244,7923.897509765625,7247.51847200685,331.26504429239503,391.0324291659364,-59.767384873541346
140,2023-07-31,8040.0,8263.0,8002.0,8220.2998046875,8220.2998046875,150489,8629.922908771836,7949.772509765625,7269.622110759414,318.3612728042499,376.49819789359907,-58.13692508934918
141,2023-08-01,8221.0,8369.0,8130.0,8207.2998046875,8207.2998046875,139823,8654.740071749266,7966.6824951171875,7278.6249184851085,303.5863945978199,361.91583723444325,-58.329442636623355
142,2023-08-02,8125.0,8125.0,7955.0,8081.85009765625,8081.85009765625,166966,8665.180693581833,7984.277490234375,7303.374286886918,278.54357727008573,345.2413852415717,-66.69780797148599
143,2023-08-03,8091.0,8234.0,7901.0,8058.35009765625,8058.35009765625,227566,8622.393618723509,8023.284985351563,7424.176351979616,253.87420668829964,326.9679495309173,-73.09374284261764
144,2023-08-04,8068.14990234375,8484.9501953125,8068.14990234375,8251.900390625,8251.900390625,284077,8604.43603447929,8064.522509765625,7524.60898505196,247.09310830191953,310.9929812851177,-63.89987298319818
145,2023-08-07,8250.0,8352.0,8176.64990234375,8315.400390625,8315.400390625,217942,8591.468060010515,8104.59501953125,7617.721979051984,244.02993311826594,297.60037165174737,-53.57043853348142
146,2023-08-08,8320.0,8700.0,8320.0,8513.9501953125,8513.9501953125,338997,8575.656886750958,8157.57001953125,7739.483152311544,254.68777250080802,289.0178518215595,-34.33007932075145
147,2023-08-09,8680.0,8744.75,8442.0,8491.4501953125,8491.4501953125,238408,8577.363865965608,8198.460034179687,7819.5562023937655,258.3406350084888,282.88240845894535,-24.54177345045656
148,2023-08-10,8495.0,8680.0,8495.0,8611.2998046875,8611.2998046875,213663,8634.778259987454,8230.272534179687,7825.76680837192,267.8191641027279,279.8697595877019,-12.050595484973996
149,2023-08-11,8611.0,8840.0,8610.0,8671.150390625,8671.150390625,261365,8677.78230342805,8271.955053710937,7866.127803993823,276.9676975806624,279.289347186294,-2.321649605631592
150,2023-08-14,8600.0,9790.0,8400.0,9294.0,9294.0,533736,8926.93056801052,8329.870043945313,7732.809519880106,330.66503370205646,289.5644844894465,41.10054921260996
151,2023-08-15,9350.0,9983.9501953125,9350.0,9864.2998046875,9864.2998046875,335306,9305.405398315053,8412.542553710937,7519.67970910682,414.46133521153024,314.54385463386325,99.91748057766699
152,2023-08-16,10357.0,10730.0,10265.0,10573.5,10573.5,401826,9821.53811699444,8534.007543945312,7246.476970896185,531.9648766446044,358.0280590360115,173.9368176085929
153,2023-08-17,10850.0,11102.0,10734.150390625,11032.2998046875,11032.2998046875,367890,10349.039308631098,8679.605029296876,7010.170749962653,654.5631926524875,417.3350857593067,237.22810689318078
